qpu,n,shots_per_circuit,circuits,total_shots,task_rate_dollars,shot_rate_dollars,cost_dollars,within_20_dollar_cap,classical_bound,quantum_bound,ideal_quantum_advantage,readout_e0,readout_e1,readout_source,delta_mode,predicted_delta,expected_win_rate,margin_above_classical,physics_possible,certification_power,certification_power_percent,expected_p_value,passes_3sigma_at_expectation
emerald,3,10,6,60,0.3,0.0016,1.896,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.02164615220283755,2.164615220283755,0.10807126010622699,False
emerald,7,120,14,1680,0.3,0.0016,6.888,True,0.9285714285714286,0.9874639560909119,0.05889252751948326,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.028146904895262836,0.959317051195649,0.030745622624220426,True,0.9940595134526806,99.40595134526806,7.03314728472274e-08,True
emerald,7,130,14,1820,0.3,0.0016,7.112,True,0.9285714285714286,0.9874639560909119,0.05889252751948326,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.028146904895262836,0.959317051195649,0.030745622624220426,True,0.9962724653295687,99.62724653295687,2.531461046886507e-08,True
emerald,7,140,14,1960,0.3,0.0016,7.336,True,0.9285714285714286,0.9874639560909119,0.05889252751948326,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.028146904895262836,0.959317051195649,0.030745622624220426,True,0.9983166353440296,99.83166353440296,9.120744518447452e-09,True
emerald,7,150,14,2100,0.3,0.0016,7.5600000000000005,True,0.9285714285714286,0.9874639560909119,0.05889252751948326,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.028146904895262836,0.959317051195649,0.030745622624220426,True,0.9992475542451592,99.92475542451592,1.799192022964768e-09,True
emerald,7,160,14,2240,0.3,0.0016,7.784000000000001,True,0.9285714285714286,0.9874639560909119,0.05889252751948326,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.028146904895262836,0.959317051195649,0.030745622624220426,True,0.9996664167864766,99.96664167864766,6.519961399156271e-10,True
emerald,7,170,14,2380,0.3,0.0016,8.008000000000001,True,0.9285714285714286,0.9874639560909119,0.05889252751948326,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.028146904895262836,0.959317051195649,0.030745622624220426,True,0.9997898780614545,99.97898780614545,2.363757098543197e-10,True
emerald,7,180,14,2520,0.3,0.0016,8.232000000000001,True,0.9285714285714286,0.9874639560909119,0.05889252751948326,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.028146904895262836,0.959317051195649,0.030745622624220426,True,0.9999073193852626,99.99073193852625,8.573573945226876e-11,True
emerald,7,190,14,2660,0.3,0.0016,8.456,True,0.9285714285714286,0.9874639560909119,0.05889252751948326,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.028146904895262836,0.959317051195649,0.030745622624220426,True,0.9999593344136387,99.99593344136387,1.7078847640673322e-11,True
emerald,7,200,14,2800,0.3,0.0016,8.68,True,0.9285714285714286,0.9874639560909119,0.05889252751948326,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.028146904895262836,0.959317051195649,0.030745622624220426,True,0.9999822352695332,99.99822352695332,6.218681301866884e-12,True
emerald,7,210,14,2940,0.3,0.0016,8.904,True,0.9285714285714286,0.9874639560909119,0.05889252751948326,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.028146904895262836,0.959317051195649,0.030745622624220426,True,0.9999922681584476,99.99922681584475,2.2647454150894568e-12,True
emerald,7,220,14,3080,0.3,0.0016,9.128,True,0.9285714285714286,0.9874639560909119,0.05889252751948326,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.028146904895262836,0.959317051195649,0.030745622624220426,True,0.9999966453849299,99.999664538493,4.527858297204027e-13,True
emerald,7,230,14,3220,0.3,0.0016,9.351999999999999,True,0.9285714285714286,0.9874639560909119,0.05889252751948326,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.028146904895262836,0.959317051195649,0.030745622624220426,True,0.9999985484350769,99.99985484350769,1.6539410106549421e-13,True
emerald,7,240,14,3360,0.3,0.0016,9.575999999999999,True,0.9285714285714286,0.9874639560909119,0.05889252751948326,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.028146904895262836,0.959317051195649,0.030745622624220426,True,0.9999993733455294,99.99993733455294,6.041709769176024e-14,True
emerald,7,250,14,3500,0.3,0.0016,9.799999999999999,True,0.9285714285714286,0.9874639560909119,0.05889252751948326,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.028146904895262836,0.959317051195649,0.030745622624220426,True,0.9999997300060703,99.99997300060703,1.2112462941408101e-14,True
emerald,7,260,14,3640,0.3,0.0016,10.024,True,0.9285714285714286,0.9874639560909119,0.05889252751948326,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.028146904895262836,0.959317051195649,0.030745622624220426,True,0.9999999222734295,99.99999222734294,4.435320547480512e-15,True
